歌手：赵雷,所属专辑：吉姆餐厅,少年锦时,29567192,70979,[169122, 82999, 49161, 38534, 29366, 22761, 22340, 18225, 15918, 15013, 14319, 13433, 7147, 6733, 6363]
歌手：赵雷,所属专辑：吉姆餐厅,理想,29567189,165617,[214583, 153932, 133303, 104343, 80753, 70000, 48052, 35985, 29121, 25656, 18777, 17342, 17057, 15102, 10523]
歌手：赵雷,所属专辑：赵小雷,画,202369,66683,[140957, 85522, 57228, 56537, 42874, 27146, 25768, 25173, 23043, 15261, 12062, 8100, 7881, 6957, 5476]
歌手：赵雷,所属专辑：吉姆餐厅,我们的时光,29567193,48387,[121712, 80665, 40196, 30147, 29643, 27761, 24381, 9282, 7400, 6772, 5221, 4316, 4125, 3168, 1566]
歌手：WANDS,所属专辑：SLAM DUNK BEST COLLECTION,世界が終るまでは,26508150,15683,[39810, 32489, 21681, 13854, 9621, 7325, 6581, 6103, 4792, 3341, 2927, 2775, 2753, 2742, 680]
歌手：WANDS,所属专辑：THE BEST OF TV ANIMATION SLAM DUNK~Single Collection~,世界が终わるまでは…,4990424,27383,[74340, 22836, 18289, 17295, 14112, 13372, 11902, 10479, 8557, 7254, 4854]
歌手：Calvin Harris / Sam Smith,所属专辑：Promises,Promises,1302091180,4165,[7202, 3194, 2174, 2116, 2093, 1555, 1511, 1065, 778, 686, 505, 405, 378, 331, 257]
歌手：Lady Gaga / Bradley Cooper,所属专辑：A Star Is Born Soundtrack,Shallow,1313096578,27843,[27485, 17996, 5315, 4915, 4255, 3327, 3083, 3055, 2222, 2097, 1824, 1501, 1145, 523, 396]
歌手：金培达,所属专辑：伊莎贝拉电影原声大碟,A Story in Macau,25982722,2916,[3825, 3212, 2185, 1657, 1419, 1396, 1075, 1019, 976, 902, 890, 698, 398, 351, 341]
歌手：张紫豪,所属专辑：可不可以,可不可以,553755659,437314,[555945, 357620, 294381, 273397, 232105, 225091, 130974, 124292, 116506, 96180, 80514, 69581, 64115, 52760, 49795]
歌手：陈淑桦,所属专辑：一生守候,滚滚红尘,211588,1272,[730, 551, 356, 317, 260, 242, 161, 139, 43, 17, 10]
歌手：Anastasia Kushnir,所属专辑：最新热歌慢摇2,Yesterday,26545233,15267,[37295, 26679, 16936, 11433, 7227, 6107, 5937, 5518, 5144, 4477, 4223, 3218, 2825, 2383, 2327]
歌手：Snow Patrol,所属专辑：A Hundred Million Suns,Set Down Your Glass,21730601,1444,[924, 667, 439, 403, 297, 290, 211, 168, 158, 141, 123, 114, 60, 60, 56]
歌手：Snow Patrol,所属专辑：Up To Now,Run,21730469,3793,[4149, 3625, 1787, 922, 899, 794, 640, 454, 282, 122, 105, 75, 62, 51, 37]
歌手：Snow Patrol,所属专辑：Chasing Cars,Chasing Cars,21730832,3588,[2679, 1937, 1673, 1556, 1169, 978, 835, 704, 602, 492, 360, 315, 280, 271, 223]
